Site,Litter type,treatment,Tag #,Replicate,Original mass (g),4 week mass,Litter type,treatment ,Tag #,Replicate,Original mass (g),4 week mass,Litter type,treatment ,Tag #,Replicate,Original mass (g),4 week mass
1,Pine,Morella,530,1,17.4,,Pine,Pine,504,1,16.42,16.13,Pine,Phragmites,551,1,15.32,
1,Pine,Morella,549,2,16.06,,Pine,Pine,548,2,16.05,,Pine,Phragmites,526,2,16.21,16.04
1,Pine,Morella,546,3,16.27,,Pine,Pine,539,3,15.88,,Pine,Phragmites,540,3,16.64,
1,Pine,Morella,1,4,15.57,,Pine,Pine,536,4,16.01,,Pine,Phragmites,506,4,15.63,
1,Pine,Morella,507,5,15.85,15.51,Pine,Pine,803,5,16.26,,Pine,Phragmites,518,5,15.66,
1,Phragmites,Morella,817,1,13.65,,Phragmites,Pine,502,1,13.83,13.52,Phragmites,Phragmites,844,1,14.58,
1,Phragmites,Morella,999,2,14.7,,Phragmites,Pine,537,2,14.8,,Phragmites,Phragmites,826,2,14.39,14.27
1,Phragmites,Morella,830,3,14.41,,Phragmites,Pine,848,3,14.5,,Phragmites,Phragmites,846,3,14.59,
1,Phragmites,Morella,833,4,15.85,,Phragmites,Pine,849,4,14.66,,Phragmites,Phragmites,901,4,14.73,
1,Phragmites,Morella,534,5,15.26,15.14,Phragmites,Pine,847,5,14.34,,Phragmites,Phragmites,992,5,13.51,
1,Morella,Morella,989,1,16.99,,Morella,Pine,535,1,17.63,17.56,Morella,Phragmites,805,1,16.92,
1,Morella,Morella,982,2,16.74,,Morella,Pine,538,2,17.79,,Morella,Phragmites,531,2,17.42,17.26
1,Morella,Morella,819,3,17.37,,Morella,Pine,600,3,14.44,,Morella,Phragmites,811,3,17.49,
1,Morella,Morella,821,4,17.2,,Morella,Pine,984,4,17.8,,Morella,Phragmites,809,4,17.34,
1,Morella,Morella,808,5,17.54,17.25,Morella,Pine,843,5,16.9,,Morella,Phragmites,993,5,17.58,
2,Pine,Morella,522,1,16.31,,Pine,Pine,521,1,16.09,,Pine,Phragmites,509,1,16.16,
2,Pine,Morella,524,2,15.72,,Pine,Pine,510,2,16.25,15.66,Pine,Phragmites,511,2,16.36,
2,Pine,Morella,547,3,16.5,,Pine,Pine,552,3,15.64,,Pine,Phragmites,802,3,16.01,
2,Pine,Morella,544,4,16.07,15.8,Pine,Pine,801,4,15.62,,Pine,Phragmites,520,4,15.73,
2,Pine,Morella,554,5,15.68,,Pine,Pine,519,5,15.47,,Pine,Phragmites,512,5,15.27,15.21
2,Phragmites,Morella,851,1,14.88,,Phragmites,Pine,832,1,13.7,,Phragmites,Phragmites,825,1,14.53,
2,Phragmites,Morella,850,2,14.9,,Phragmites,Pine,902,2,13.56,13.01,Phragmites,Phragmites,595,2,14.63,
2,Phragmites,Morella,845,3,13.56,,Phragmites,Pine,829,3,15.27,,Phragmites,Phragmites,816,3,13.91,
2,Phragmites,Morella,906,4,13.61,12.77,Phragmites,Pine,998,4,14.87,,Phragmites,Phragmites,815,4,14.71,
2,Phragmites,Morella,589,5,15.51,,Phragmites,Pine,828,5,14.52,,Phragmites,Phragmites,905,5,14.32,14.26
2,Morella,Morella,822,1,17.21,,Morella,Pine,814,1,17.58,,Morella,Phragmites,839,1,17.99,
2,Morella,Morella,807,2,17.44,,Morella,Pine,836,2,17.94,17.82,Morella,Phragmites,838,2,18.16,
2,Morella,Morella,804,3,17.54,,Morella,Pine,813,3,17.1,,Morella,Phragmites,997,3,17.87,
2,Morella,Morella,812,4,16.81,16.77,Morella,Pine,824,4,16.19,,Morella,Phragmites,980,4,17.56,
2,Morella,Morella,823,5,17.73,,Morella,Pine,996,5,17.72,,Morella,Phragmites,835,5,17.66,17.3
3,Pine,Morella,517,1,16.44,,Pine,Pine,541,1,15.82,,Pine,Phragmites,528,1,17.01,
3,Pine,Morella,516,2,15.9,,Pine,Pine,523,2,16.27,,Pine,Phragmites,503,2,15.78,
3,Pine,Morella,514,3,15.78,15.53,Pine,Pine,556,3,17.86,17.16,Pine,Phragmites,508,3,15.74,
3,Pine,Morella,515,4,15.52,,Pine,Pine,505,4,16.43,,Pine,Phragmites,543,4,16.11,
3,Pine,Morella,513,5,15.77,,Pine,Pine,550,5,16.28,,Pine,Phragmites,545,5,16.92,16.52
3,Phragmites,Morella,529,1,13.64,,Phragmites,Pine,852,1,14.52,,Phragmites,Phragmites,818,1,15.59,
3,Phragmites,Morella,979,2,14.5,,Phragmites,Pine,903,2,14.6,,Phragmites,Phragmites,831,2,14.67,
3,Phragmites,Morella,533,3,15.58,15.34,Phragmites,Pine,1000,3,14.39,13.43,Phragmites,Phragmites,527,3,13.83,
3,Phragmites,Morella,827,4,14.48,,Phragmites,Pine,904,4,14.25,,Phragmites,Phragmites,560,4,11.56,
3,Phragmites,Morella,542,5,14.43,,Phragmites,Pine,853,5,15.63,,Phragmites,Phragmites,532,5,14.4,14.29
3,Morella,Morella,995,1,17.75,,Morella,Pine,841,1,17.49,,Morella,Phragmites,837,1,17.81,
3,Morella,Morella,994,2,17.72,,Morella,Pine,981,2,17.85,,Morella,Phragmites,842,2,18.05,
3,Morella,Morella,820,3,16.93,16.1,Morella,Pine,985,3,17.54,17.21,Morella,Phragmites,834,3,17.24,
3,Morella,Morella,986,4,16.98,,Morella,Pine,810,4,17.53,,Morella,Phragmites,990,4,17.56,
3,Morella,Morella,806,5,17.25,,Morella,Pine,840,5,17.48,,Morella,Phragmites,525,5,17.5,17.31