Tag #,Litter type,treatment,Replicate,Initial_Bag Mass (g),Initial_Litter Mass (g),Initial_Total Bag + Litter Mass (g),4 week mass (with bag),12 week mass (with bag) ,6 month mass (with bag),12 month mass (with bag)
529,Phragmites,Morella,1,9.52,4.12,13.64,not yet collected,not yet collected,not yet collected,12.9
830,Phragmites,Morella,3,10.1,4.31,14.41,not yet collected,not yet collected,not yet collected,13.3
815,Phragmites,Phragmites,4,9.61,5.1,14.71,not yet collected,not yet collected,not yet collected,13.7
831,Phragmites,Phragmites,2,10.05,4.62,14.67,not yet collected,not yet collected,not yet collected,13.8
901,Phragmites,Phragmites,4,10.34,4.39,14.73,not yet collected,not yet collected,not yet collected,13.9
849,Phragmites,Pine,4,10.02,4.64,14.66,not yet collected,not yet collected,not yet collected,14.1
851,Phragmites,Morella,1,10.24,4.64,14.88,not yet collected,not yet collected,not yet collected,14.1
829,Phragmites,Pine,3,9.63,5.64,15.27,not yet collected,not yet collected,not yet collected,14.2
506,Pine,Phragmites,4,9.51,6.12,15.63,not yet collected,not yet collected,not yet collected,14.6
503,Pine,Phragmites,2,9.53,6.25,15.78,not yet collected,not yet collected,not yet collected,14.7
520,Pine,Phragmites,4,9.57,6.16,15.73,not yet collected,not yet collected,not yet collected,14.8
546,Pine,Morella,3,9.88,6.39,16.27,not yet collected,not yet collected,not yet collected,14.8
853,Phragmites,Pine,5,10.09,5.54,15.63,not yet collected,not yet collected,not yet collected,14.8
517,Pine,Morella,1,9.87,6.57,16.44,not yet collected,not yet collected,not yet collected,14.9
522,Pine,Morella,1,9.93,6.38,16.31,not yet collected,not yet collected,not yet collected,14.9
550,Pine,Pine,5,10.18,6.1,16.28,not yet collected,not yet collected,not yet collected,14.9
552,Pine,Pine,3,9.66,5.98,15.64,not yet collected,not yet collected,not yet collected,14.9
536,Pine,Pine,4,10,6.01,16.01,not yet collected,not yet collected,not yet collected,15.4
813,Morella,Pine,3,9.53,7.57,17.1,not yet collected,not yet collected,not yet collected,15.9
822,Morella,Morella,1,9.77,7.44,17.21,not yet collected,not yet collected,not yet collected,16.1
984,Morella,Pine,4,10.26,7.54,17.8,not yet collected,not yet collected,not yet collected,16.1
819,Morella,Morella,3,9.76,7.61,17.37,not yet collected,not yet collected,not yet collected,16.3
809,Morella,Phragmites,4,9.92,7.42,17.34,not yet collected,not yet collected,not yet collected,16.4
840,Morella,Pine,5,10.05,7.43,17.48,not yet collected,not yet collected,not yet collected,16.4
995,Morella,Morella,1,10.25,7.5,17.75,not yet collected,not yet collected,not yet collected,16.6
842,Morella,Phragmites,2,10.46,7.59,18.05,not yet collected,not yet collected,not yet collected,16.7
838,Morella,Phragmites,2,10.64,7.52,18.16,not yet collected,not yet collected,not yet collected,17.2
511,Pine,Phragmites,2,10.19,6.17,16.36,not yet collected,not yet collected,16.02,already collected
515,Pine,Morella,4,9.49,6.03,15.52,not yet collected,not yet collected,15.19,already collected
521,Pine,Pine,1,10.13,5.96,16.09,not yet collected,not yet collected,15.63,already collected
523,Pine,Pine,2,10.29,5.98,16.27,not yet collected,not yet collected,15.65,already collected
528,Pine,Phragmites,1,10.1,6.91,17.01,not yet collected,not yet collected,16.35,already collected
537,Phragmites,Pine,2,9.25,5.55,14.8,not yet collected,not yet collected,14.23,already collected
538,Morella,Pine,2,10.34,7.45,17.79,not yet collected,not yet collected,17.38,already collected
548,Pine,Pine,2,9.53,6.52,16.05,not yet collected,not yet collected,15.67,already collected
551,Pine,Phragmites,1,9.48,5.84,15.32,not yet collected,not yet collected,14.72,already collected
553,Pine,Morella,4,9.72,5.85,15.57,not yet collected,not yet collected,15.04,already collected
554,Pine,Morella,5,10.03,5.65,15.68,not yet collected,not yet collected,15.08,already collected
589,Phragmites,Morella,5,10.19,5.32,15.51,not yet collected,not yet collected,14.92,already collected
595,Phragmites,Phragmites,2,10.09,4.54,14.63,not yet collected,not yet collected,14.42,already collected
805,Morella,Phragmites,1,9.38,7.54,16.92,not yet collected,not yet collected,16.21,already collected
814,Morella,Pine,1,9.96,7.62,17.58,not yet collected,not yet collected,17.03,already collected
818,Phragmites,Phragmites,1,9.88,5.71,15.59,not yet collected,not yet collected,14.88,already collected
821,Morella,Morella,4,9.55,7.65,17.2,not yet collected,not yet collected,16.58,already collected
823,Morella,Morella,5,10.14,7.59,17.73,not yet collected,not yet collected,17.2,already collected
827,Phragmites,Morella,4,9.86,4.62,14.48,not yet collected,not yet collected,14.07,already collected
832,Phragmites,Pine,1,9.38,4.32,13.7,not yet collected,not yet collected,13.24,already collected
833,Phragmites,Morella,4,9.59,6.26,15.85,not yet collected,not yet collected,15.22,already collected
837,Morella,Phragmites,1,10.28,7.53,17.81,not yet collected,not yet collected,16.78,already collected
844,Phragmites,Phragmites,1,10.11,4.47,14.58,not yet collected,not yet collected,14.15,already collected
903,Phragmites,Pine,2,10.37,4.23,14.6,not yet collected,not yet collected,14.07,already collected
980,Morella,Phragmites,4,10.02,7.54,17.56,not yet collected,not yet collected,16.62,already collected
981,Morella,Pine,2,10.35,7.5,17.85,not yet collected,not yet collected,16.88,already collected
986,Morella,Morella,4,9.43,7.55,16.98,not yet collected,not yet collected,15.62,already collected
502,Phragmites,Pine,1,8.48,5.35,13.83,13.52,already collected,already collected,already collected
504,Pine,Pine,1,10.17,6.25,16.42,16.13,already collected,already collected,already collected
505,Pine,Pine,4,10.34,6.09,16.43,not yet collected,16.03,already collected,already collected
507,Pine,Morella,5,9.72,6.13,15.85,15.51,already collected,already collected,already collected
509,Pine,Phragmites,1,10.11,6.05,16.16,not yet collected,15.61,already collected,already collected
510,Pine,Pine,2,10.17,6.08,16.25,15.66,already collected,already collected,already collected
512,Pine,Phragmites,5,9.04,6.23,15.27,15.21,already collected,already collected,already collected
514,Pine,Morella,3,9.83,5.95,15.78,15.53,already collected,already collected,already collected
516,Pine,Morella,2,9.45,6.45,15.9,not yet collected,14.82,already collected,already collected
518,Pine,Phragmites,5,9.47,6.19,15.66,not yet collected,14.53,already collected,already collected
519,Pine,Pine,5,9.44,6.03,15.47,not yet collected,14.82,already collected,already collected
524,Pine,Morella,2,9.65,6.07,15.72,not yet collected,14.99,already collected,already collected
525,Morella,Phragmites,5,9.99,7.51,17.5,17.31,already collected,already collected,already collected
526,Pine,Phragmites,2,10.33,5.88,16.21,16.04,already collected,already collected,already collected
531,Morella,Phragmites,2,9.93,7.49,17.42,17.26,already collected,already collected,already collected
532,Phragmites,Phragmites,5,8.8,5.6,14.4,14.29,already collected,already collected,already collected
533,Phragmites,Morella,3,10.01,5.57,15.58,15.34,already collected,already collected,already collected
534,Phragmites,Morella,5,10.05,5.21,15.26,15.14,already collected,already collected,already collected
535,Morella,Pine,1,10.07,7.56,17.63,17.56,already collected,already collected,already collected
539,Pine,Pine,3,10.05,5.83,15.88,not yet collected,15.24,already collected,already collected
543,Pine,Phragmites,4,9.46,6.65,16.11,not yet collected,15.53,already collected,already collected
544,Pine,Morella,4,10.11,5.96,16.07,15.8,already collected,already collected,already collected
545,Pine,Phragmites,5,10.11,6.81,16.92,16.52,already collected,already collected,already collected
549,Pine,Morella,2,9.97,6.09,16.06,not yet collected,15.38,already collected,already collected
556,Pine,Pine,3,10.2,7.66,17.86,17.16,already collected,already collected,already collected
560,Phragmites,Phragmites,4,9.31,2.25,11.56,not yet collected,11.25,already collected,already collected
600,Morella,Pine,3,7.04,7.4,14.44,not yet collected,14.04,already collected,already collected
807,Morella,Morella,2,9.88,7.56,17.44,not yet collected,16.73,already collected,already collected
808,Morella,Morella,5,10.1,7.44,17.54,17.25,already collected,already collected,already collected
810,Morella,Pine,4,10.3,7.23,17.53,not yet collected,16.78,already collected,already collected
812,Morella,Morella,4,10.35,6.46,16.81,16.77,already collected,already collected,already collected
820,Morella,Morella,3,9.43,7.5,16.93,16.1,already collected,already collected,already collected
825,Phragmites,Phragmites,1,10.45,4.08,14.53,not yet collected,13.95,already collected,already collected
826,Phragmites,Phragmites,2,10.02,4.37,14.39,14.27,already collected,already collected,already collected
828,Phragmites,Pine,5,10.2,4.32,14.52,not yet collected,13.98,already collected,already collected
835,Morella,Phragmites,5,10.1,7.56,17.66,17.3,already collected,already collected,already collected
836,Morella,Pine,2,10.42,7.52,17.94,17.82,already collected,already collected,already collected
839,Morella,Phragmites,1,10.4,7.59,17.99,not yet collected,17.22,already collected,already collected
848,Phragmites,Pine,3,10.21,4.29,14.5,not yet collected,14.12,already collected,already collected
850,Phragmites,Morella,2,10.22,4.68,14.9,not yet collected,14.28,already collected,already collected
902,Phragmites,Pine,2,9.31,4.25,13.56,13.01,already collected,already collected,already collected
904,Phragmites,Pine,4,9.95,4.3,14.25,not yet collected,13.73,already collected,already collected
905,Phragmites,Phragmites,5,10.12,4.2,14.32,14.26,already collected,already collected,already collected
906,Phragmites,Morella,4,9.34,4.27,13.61,12.77,already collected,already collected,already collected
979,Phragmites,Morella,2,10.35,4.15,14.5,not yet collected,14.03,already collected,already collected
982,Morella,Morella,2,9.26,7.48,16.74,not yet collected,16.07,already collected,already collected
985,Morella,Pine,3,9.99,7.55,17.54,17.21,already collected,already collected,already collected
990,Morella,Phragmites,4,10.07,7.49,17.56,not yet collected,16.66,already collected,already collected
992,Phragmites,Phragmites,5,9.1,4.41,13.51,not yet collected,13.07,already collected,already collected
993,Morella,Phragmites,5,10.09,7.49,17.58,not yet collected,16.67,already collected,already collected
994,Morella,Morella,2,10.17,7.55,17.72,not yet collected,16.08,already collected,already collected
996,Morella,Pine,5,10.29,7.43,17.72,not yet collected,16.86,already collected,already collected
999,Phragmites,Morella,2,10.5,4.2,14.7,not yet collected,13.26,already collected,already collected
1000,Phragmites,Pine,3,9.97,4.42,14.39,13.43,already collected,already collected,already collected
513,Pine,Morella,5,9.7,6.07,15.77,not yet collected,not yet collected,not yet collected,not yet collected
527,Phragmites,Phragmites,3,10.14,5.66,15.8,not yet collected,not yet collected,not yet collected,not yet collected
530,Pine,Morella,1,10.28,7.12,17.4,not yet collected,not yet collected,not yet collected,not yet collected
540,Pine,Phragmites,3,10.25,6.39,16.64,not yet collected,not yet collected,not yet collected,not yet collected
541,Pine,Pine,1,9.8,6.02,15.82,not yet collected,not yet collected,not yet collected,not yet collected
542,Phragmites,Morella,5,10.03,4.4,14.43,not yet collected,not yet collected,not yet collected,not yet collected
547,Pine,Morella,3,10.2,6.3,16.5,not yet collected,not yet collected,not yet collected,not yet collected
801,Pine,Pine,4,9.57,6.05,15.62,not yet collected,not yet collected,not yet collected,not yet collected
802,Pine,Phragmites,3,9.86,6.15,16.01,not yet collected,not yet collected,not yet collected,not yet collected
803,Pine,Pine,5,9.68,6.58,16.26,not yet collected,not yet collected,not yet collected,not yet collected
804,Morella,Morella,3,10,7.54,17.54,not yet collected,not yet collected,not yet collected,not yet collected
806,Morella,Morella,5,9.81,7.44,17.25,not yet collected,not yet collected,not yet collected,not yet collected
811,Morella,Phragmites,3,10.05,7.44,17.49,not yet collected,not yet collected,not yet collected,not yet collected
816,Phragmites,Phragmites,3,9.75,4.16,13.91,not yet collected,not yet collected,not yet collected,not yet collected
817,Phragmites,Morella,1,9.54,4.11,13.65,not yet collected,not yet collected,not yet collected,not yet collected
824,Morella,Pine,4,9.81,6.38,16.19,not yet collected,not yet collected,not yet collected,not yet collected
834,Morella,Phragmites,3,9.78,7.46,17.24,not yet collected,not yet collected,not yet collected,not yet collected
841,Morella,Pine,1,10.01,7.48,17.49,not yet collected,not yet collected,not yet collected,not yet collected
843,Morella,Pine,5,9.34,7.56,16.9,not yet collected,not yet collected,not yet collected,not yet collected
845,Phragmites,Morella,3,9.29,4.27,13.56,not yet collected,not yet collected,not yet collected,not yet collected
846,Phragmites,Phragmites,3,10.16,4.43,14.59,not yet collected,not yet collected,not yet collected,not yet collected
847,Phragmites,Pine,5,9.99,4.35,14.34,not yet collected,not yet collected,not yet collected,not yet collected
852,Phragmites,Pine,1,9.95,4.57,14.52,not yet collected,not yet collected,not yet collected,not yet collected
989,Morella,Morella,1,9.44,7.55,16.99,not yet collected,not yet collected,not yet collected,not yet collected
997,Morella,Phragmites,3,10.41,7.46,17.87,not yet collected,not yet collected,not yet collected,not yet collected
998,Phragmites,Pine,4,10.32,4.55,14.87,not yet collected,not yet collected,not yet collected,not yet collected
508,Pine,Phragmites,3,9.39,6.35,15.74,not yet collected,not yet collected,not yet collected,not yet collected