SLC,treatment,PercMassRemaining,site,days_to_collection,rep
Mo1.Morella,Morella,1,Mo1,0,0
Mo1.Pine,Pine,1,Mo1,0,0
Mo1.Phragmites,Phragmites,1,Mo1,0,0
Mo2.Morella,Morella,1,Mo2,0,0
Mo2.Pine,Pine,1,Mo2,0,0
Mo2.Phragmites,Phragmites,1,Mo2,0,0
Mo3.Morella,Morella,1,Mo3,0,0
Mo3.Pine,Pine,1,Mo3,0,0
Mo3.Phragmites,Phragmites,1,Mo3,0,0
Pi1.Morella,Morella,1,Pi1,0,0
Pi1.Pine,Pine,1,Pi1,0,0
Pi1.Phragmites,Phragmites,1,Pi1,0,0
Pi2.Morella,Morella,1,Pi2,0,0
Pi2.Pine,Pine,1,Pi2,0,0
Pi2.Phragmites,Phragmites,1,Pi2,0,0
Pi3.Morella,Morella,1,Pi3,0,0
Pi3.Pine,Pine,1,Pi3,0,0
Pi3.Phragmites,Phragmites,1,Pi3,0,0
Ph1.Morella,Morella,1,Ph1,0,0
Ph1.Pine,Pine,1,Ph1,0,0
Ph1.Phragmites,Phragmites,1,Ph1,0,0
Ph2.Morella,Morella,1,Ph2,0,0
Ph2.Pine,Pine,1,Ph2,0,0
Ph2.Phragmites,Phragmites,1,Ph2,0,0
Ph3.Morella,Morella,1,Ph3,0,0
Ph3.Pine,Pine,1,Ph3,0,0
Ph3.Phragmites,Phragmites,1,Ph3,0,0